Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2005-01-03,6.61,6.61,6.61,6.61
2005-01-04,6.6,6.6,6.6,6.6
2005-01-05,6.62,6.62,6.62,6.62
2005-01-06,6.63,6.63,6.63,6.63
2005-01-07,6.64,6.64,6.64,6.64
2005-01-10,6.64,6.64,6.64,6.64
2005-01-11,6.65,6.65,6.65,6.65
2005-01-12,6.65,6.65,6.65,6.65
2005-01-13,6.65,6.65,6.65,6.65
2005-01-14,6.65,6.65,6.65,6.65
2005-01-17,6.65,6.65,6.65,6.65
2005-01-18,6.64,6.64,6.64,6.64
2005-01-19,6.65,6.65,6.65,6.65
2005-01-20,6.62,6.62,6.62,6.62
2005-01-21,6.63,6.63,6.63,6.63
2005-01-24,6.62,6.62,6.62,6.62
2005-01-25,6.62,6.62,6.62,6.62
2005-01-26,6.64,6.64,6.64,6.64
2005-01-27,6.63,6.63,6.63,6.63
2005-01-28,6.61,6.61,6.61,6.61
2005-01-31,6.61,6.61,6.61,6.61
2005-02-01,6.6,6.6,6.6,6.6
2005-02-02,6.6,6.6,6.6,6.6
2005-02-03,6.6,6.6,6.6,6.6
2005-02-04,6.6,6.6,6.6,6.6
2005-02-07,6.6,6.6,6.6,6.6
2005-02-08,6.6,6.6,6.6,6.6
2005-02-09,6.6,6.6,6.6,6.6
2005-02-10,6.61,6.61,6.61,6.61
2005-02-11,6.6,6.6,6.6,6.6
2005-02-14,6.59,6.59,6.59,6.59
2005-02-15,6.57,6.57,6.57,6.57
2005-02-16,6.51,6.51,6.51,6.51
2005-02-17,6.51,6.51,6.51,6.51
2005-02-18,6.51,6.51,6.51,6.51
2005-02-21,6.49,6.49,6.49,6.49
2005-02-22,6.49,6.49,6.49,6.49
2005-02-23,6.49,6.49,6.49,6.49
2005-02-24,6.48,6.48,6.48,6.48
2005-02-25,6.46,6.46,6.46,6.46
2005-02-28,6.31,6.31,6.31,6.31
2005-03-01,6.3,6.3,6.3,6.3
2005-03-02,6.3,6.3,6.3,6.3
2005-03-03,6.33,6.33,6.33,6.33
2005-03-04,6.35,6.35,6.35,6.35
2005-03-07,6.34,6.34,6.34,6.34
2005-03-08,6.26,6.26,6.26,6.26
2005-03-09,6.19,6.19,6.19,6.19
2005-03-10,6.17,6.17,6.17,6.17
2005-03-11,6.16,6.16,6.16,6.16
2005-03-14,6.15,6.15,6.15,6.15
2005-03-15,6.05,6.05,6.05,6.05
2005-03-16,6.1,6.1,6.1,6.1
2005-03-17,6.15,6.15,6.15,6.15
2005-03-18,6.1,6.1,6.1,6.1
2005-03-21,6.1,6.1,6.1,6.1
2005-03-22,6.09,6.09,6.09,6.09
2005-03-23,6.1,6.1,6.1,6.1
2005-03-24,6.05,6.05,6.05,6.05
2005-03-29,6.06,6.06,6.06,6.06
2005-03-30,6.09,6.09,6.09,6.09
2005-03-31,5.91,5.91,5.91,5.91
2005-04-01,5.89,5.89,5.89,5.89
2005-04-04,5.9,5.9,5.9,5.9
2005-04-05,5.9,5.9,5.9,5.9
2005-04-06,5.91,5.91,5.91,5.91
2005-04-07,5.9,5.9,5.9,5.9
2005-04-11,5.89,5.89,5.89,5.89
2005-04-12,5.89,5.89,5.89,5.89
2005-04-13,5.88,5.88,5.88,5.88
2005-04-14,5.86,5.86,5.86,5.86
2005-04-15,5.79,5.79,5.79,5.79
2005-04-18,5.79,5.79,5.79,5.79
2005-04-19,5.77,5.77,5.77,5.77
2005-04-20,5.7,5.7,5.7,5.7
2005-04-21,5.7,5.7,5.7,5.7
2005-04-22,5.66,5.66,5.66,5.66
2005-04-25,5.65,5.65,5.65,5.65
2005-04-26,5.65,5.65,5.65,5.65
2005-04-27,5.61,5.61,5.61,5.61
2005-04-28,5.6,5.6,5.6,5.6
2005-04-29,5.59,5.59,5.59,5.59
2005-05-02,5.58,5.58,5.58,5.58
2005-05-04,5.56,5.56,5.56,5.56
2005-05-05,5.56,5.56,5.56,5.56
2005-05-06,5.55,5.55,5.55,5.55
2005-05-09,5.51,5.51,5.51,5.51
2005-05-10,5.5,5.5,5.5,5.5
2005-05-11,5.51,5.51,5.51,5.51
2005-05-12,5.5,5.5,5.5,5.5
2005-05-13,5.5,5.5,5.5,5.5
2005-05-16,5.42,5.42,5.42,5.42
2005-05-17,5.46,5.46,5.46,5.46
2005-05-18,5.46,5.46,5.46,5.46
2005-05-19,5.44,5.44,5.44,5.44
2005-05-20,5.43,5.43,5.43,5.43
2005-05-23,5.45,5.45,5.45,5.45
